Date,Slot,Subject,B24AD1090,B24AD1091,B24AD1092,B24AD1093,B24AD1094,B24AD1095,B24AD1096,B24AD1097,B24AD1098,B24AD1099,B24AD1100,B24AD1101,B24AD1102,B24AD1103,B24AD1104,B24AD1105,B24AD1106,B24AD1107,B24AD1108,B24AD1109,B24AD1110,B24AD1111,B24AD1112,B24AD1113,B24AD1114,B24AD1115,B24AD1116
2026-01-02,08:00-09:00,DBMS (T),A,P,P,P,A,P,P,A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P
2026-01-02,09:00-10:00,DSA (T),P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,A,P,A,P,P,P
2026-01-02,10:30-12:30,DSA (L),A,A,A,P,P,P,A,A,P,P,P,P,P,P,P,P,A,P,P,A,P,P,P,P,P,A,P
2026-01-02,13:15-15:15,DBMS (L),P,P,P,P,P,P,P,A,P,P,P,P,P,A,P,P,P,A,P,P,A,P,A,P,P,P,A
2026-01-05,08:00-09:00,DBMS (T),A,P,P,P,P,A,P,P,A,P,A,P,P,A,P,P,P,P,A,P,P,P,A,P,P,A,P
2026-01-05,09:00-10:00,DSA (T),P,P,A,A,P,P,A,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P,P
2026-01-05,10:30-12:30,DBMS (L),P,A,P,P,P,P,P,P,A,P,P,A,P,P,P,P,P,P,P,A,P,P,P,P,P,A,P
2026-01-05,13:15-15:15,EDI (L),P,P,A,A,P,P,P,P,P,A,P,P,A,P,P,P,P,A,P,A,A,P,P,P,P,P,A
2026-01-06,08:00-09:00,DSA (T),P,A,A,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P,A,P,P,A,A,P,P,P,P
2026-01-06,09:00-10:00,AS (T),P,P,A,A,P,P,P,A,A,P,P,P,A,P,A,P,P,P,P,P,A,P,P,P,P,P,P
2026-01-06,10:30-12:30,DSA (L),P,P,P,P,P,A,A,P,A,P,P,A,P,P,P,P,P,P,P,P,A,A,P,P,P,A,P
2026-01-06,13:15-15:15,MLCT (L),P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P,A,A,P,P,A,P,P,P
2026-01-07,08:00-09:00,AS (T),P,P,P,P,P,A,P,P,A,P,P,P,A,P,A,P,P,A,P,P,A,P,P,P,P,P,P
2026-01-07,09:00-10:00,DBMS (T),P,A,P,P,P,P,P,A,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,A,A,P,P
2026-01-07,10:30-12:30,EDI (L),P,P,A,P,P,P,A,P,A,P,A,P,A,P,P,P,P,P,A,P,P,P,P,A,P,P,P
2026-01-07,13:15-15:15,DBMS (L),P,P,P,P,A,P,P,A,A,P,P,P,A,P,A,P,P,A,P,P,A,P,P,A,P,P,P
2026-01-08,08:00-09:00,DSA (T),P,P,P,P,P,P,P,A,P,P,P,A,A,A,P,P,P,P,A,P,P,P,P,A,P,A,P
2026-01-08,09:00-10:00,AS (T),P,A,A,A,A,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P
2026-01-08,10:30-12:30,CTC (L),P,P,A,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,A,P,A,P,P,P,A,P
2026-01-08,13:15-15:15,DSA (L),A,P,P,A,P,P,P,P,A,P,P,P,P,P,A,P,A,A,P,A,P,P,A,P,P,P,P
2026-01-09,08:00-09:00,DBMS (T),P,P,P,A,P,A,P,P,P,A,A,P,P,A,P,P,P,P,P,P,A,P,P,P,A,P,P
2026-01-09,09:00-10:00,DSA (T),A,P,P,A,P,A,P,P,A,P,P,P,P,P,P,P,A,P,P,P,P,P,A,A,P,A,P
2026-01-09,10:30-12:30,DSA (L),P,P,P,P,A,P,A,P,P,P,P,A,P,P,P,P,A,P,P,A,A,P,P,P,P,P,A
2026-01-09,13:15-15:15,DBMS (L),A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,A,P,A,P,P,P,P,A,P,P
2026-01-12,08:00-09:00,DBMS (T),A,A,P,A,P,P,P,A,P,A,P,A,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P
2026-01-12,09:00-10:00,DSA (T),P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,A,A,P,A
2026-01-12,10:30-12:30,DBMS (L),P,P,P,P,A,A,P,P,A,P,P,P,P,P,P,A,P,A,P,P,P,A,P,P,P,P,P
2026-01-12,13:15-15:15,EDI (L),P,P,P,P,P,P,A,P,P,A,P,P,A,P,P,P,P,A,P,P,P,P,A,A,A,P,A
2026-01-13,08:00-09:00,DSA (T),P,P,A,A,P,P,P,A,P,P,P,P,P,P,A,P,A,P,P,P,P,P,A,P,P,P,A
2026-01-13,09:00-10:00,AS (T),A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,A,P,A,A
2026-01-13,10:30-12:30,DSA (L),P,A,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P,P,P
2026-01-13,13:15-15:15,MLCT (L),P,P,A,P,P,P,P,A,A,P,A,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P
2026-01-14,08:00-09:00,AS (T),P,P,P,P,A,P,A,A,P,P,P,P,P,P,P,A,P,A,A,P,P,P,A,A,P,P,P
2026-01-14,09:00-10:00,DBMS (T),P,P,P,A,P,P,A,P,P,P,P,A,P,A,P,P,P,P,P,P,P,A,P,A,P,A,A
2026-01-14,10:30-12:30,EDI (L),P,A,P,A,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,A,A,A,A,P,P,P
2026-01-14,13:15-15:15,DBMS (L),P,P,P,A,P,P,P,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,P,A,P,A,P
2026-01-15,08:00-09:00,DSA (T),P,P,P,P,A,P,A,P,P,P,P,P,P,A,A,P,P,A,P,P,P,P,P,P,P,P,A
2026-01-15,09:00-10:00,AS (T),P,P,A,P,P,P,P,A,A,P,P,P,P,P,A,P,P,A,P,P,P,P,P,P,P,A,P
2026-01-15,10:30-12:30,CTC (L),A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,A,P,P,P,P,P,A
2026-01-15,13:15-15:15,DSA (L),P,P,P,P,P,A,P,A,P,P,P,P,P,A,P,A,P,P,P,P,P,P,P,P,A,P,P
2026-01-16,08:00-09:00,DBMS (T),A,A,P,P,P,A,A,P,A,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,A,P
2026-01-16,09:00-10:00,DSA (T),P,P,P,P,A,P,P,P,P,A,P,P,P,A,P,A,P,A,P,P,P,A,A,A,P,P,P
2026-01-16,10:30-12:30,DSA (L),P,A,P,P,P,P,A,P,P,A,P,P,P,P,P,P,P,A,A,P,P,P,P,P,A,P,P
2026-01-16,13:15-15:15,DBMS (L),P,A,P,P,P,A,P,P,P,P,P,P,P,P,P,A,A,P,A,P,P,P,A,P,P,P,A
2026-01-19,08:00-09:00,DBMS (T),P,P,A,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,A,P,A,P,P,P,P,P
2026-01-19,09:00-10:00,DSA (T),P,P,P,A,P,P,P,A,P,P,P,P,A,P,P,P,P,P,A,A,P,P,P,P,A,P,P
2026-01-19,10:30-12:30,DBMS (L),P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,A,A,P,A,P,P,P,P,P
2026-01-19,13:15-15:15,EDI (L),P,P,P,P,P,P,A,A,A,P,A,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,A
2026-01-20,08:00-09:00,DSA (T),A,P,A,P,A,P,P,P,P,A,A,P,P,P,A,P,P,P,P,P,A,A,P,P,P,P,P
2026-01-20,09:00-10:00,AS (T),P,P,A,A,P,P,A,P,A,P,P,P,P,P,P,P,A,A,A,A,P,P,P,P,P,P,P
2026-01-20,10:30-12:30,DSA (L),P,P,A,P,P,A,P,A,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A
2026-01-20,13:15-15:15,MLCT (L),A,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,A,P,A,A,P,A,P,P,P,A
2026-01-21,08:00-09:00,AS (T),P,P,P,A,A,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,A,A,P,P,A,P
2026-01-21,09:00-10:00,DBMS (T),P,P,P,P,P,P,A,P,A,A,A,P,P,P,P,P,P,P,P,A,P,P,A,P,P,P,P
2026-01-21,10:30-12:30,EDI (L),P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,A,P,P,P,A,A,P,P,A,P,P
2026-01-21,13:15-15:15,DBMS (L),P,P,A,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,A
2026-01-22,08:00-09:00,DSA (T),A,P,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P
2026-01-22,09:00-10:00,AS (T),P,P,P,P,P,A,P,P,P,P,P,P,P,A,A,P,P,A,P,P,P,P,A,A,P,A,P
2026-01-22,10:30-12:30,CTC (L),P,P,A,A,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P
2026-01-22,13:15-15:15,DSA (L),P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,A,A,P,P,P,P,P,P,P,A
2026-01-23,08:00-09:00,DBMS (T),P,A,P,P,A,P,A,A,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P
2026-01-23,09:00-10:00,DSA (T),P,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P,P,A,P,A,P,P,P,P,A,P,P
